BDRC Resource ID,Gender,DOB,DOD,Traditions,Wiki-ID Traditions,Role1,Role2,Role3,Role4,Role5,Role6,Role7,Role8,label_bo,label_zh-hans,label_en,Alias_bo_1,Alias_bo_2,Alias_bo_3,Alias_bo_4,Alias_bo_5,Alias_bo_6,Alias_bo_7,Alias_bo_8,Alias_bo_9,Alias_bo_10,Alias_bo_11,Alias_bo_12,Alias_bo_13,Alias_bo_14,Alias_bo_15,Alias_bo_16,Alias_bo_17,Alias_zh_1,Alias_zh_2,Alias_en_1,Alias_en_2,Alias_en_3,Alias_en_4
P8LS13897,,,,Nyingma,Q848771,,,,,,,,,བསྟན་འཛིན་བཟང་པོ།,,,བྲག་ཐོག་དགོན་གདན་རབས ༡༠,,,,,,,,,,,,,,,,,,,,,,
P3CN26264,,,,,,main author,,,,,,,,ཆོས་དབྱིངས་རྒྱ་མཚོ།,曲央嘉措,Choying Gyaltso,གཙང་ཞོགས་སྤྲིན།,,,,,,,,,,,,,,,,,,,,,,
P1KG20862,,,,,,translator,,,,,,,,ཆོས་དབྱིངས་རྒྱ་མཚོ།,,,,,,,,,,,,,,,,,,,,,,,,,
P8LS15284,,,,Geluk,Q319218,,,,,,,,,བསྟན་པའི་སྒྲོན་མེ།,,,ཧྭར་བ་གྲུབ་དབང་རིན་པོ་ཆེ ༠༣,,,,,,,,,,,,,,,,,,,,,,
P1KG15992,,,,Geluk,Q319218,,,,,,,,,བསྟན་པའི་སྒྲོན་མེ།,,,རོང་ཆེན་བསྟན་པའི་སྒྲོན་མེ།,,,,,,,,,,,,,,,,,,,,,,
P2LS269,,,,,,,,,,,,,,རྣམ་རྒྱལ་དབང་ཕྱུག,,,,,,,,,,,,,,,,,,,,,,,,,
P1KG17423,,,,,,compiler,,,,,,,,རྣམ་རྒྱལ་དབང་ཕྱུག,,namgay wangchuk,,,,,,,,,,,,,,,,,,,,,,,
P8LS12949,,,,,,,,,,,,,,ཕུན་ཚོགས་རྒྱལ་མཚན།,,,དགོན་རྩེ་བརྒྱད་སྤྲུལ་སྐུ ༠༡,,,,,,,,,,,,,,,,,,,,,,
P8LS75363,,,,KarmaKagyu,Q785447,main author,,,,,,,,རྒྱལ་མཚན་ཕུན་ཚོགས།,,,,,,,,,,,,,,,,,,,,,,,,,
P8LS75555,,,,,,main author,,,,,,,,དགེ་འདུན་བསྟན་འཛིན།,,,,,,,,,,,,,,,,,,,,,,,,,
P8LS12315,,,,,,,,,,,,,,དགེ་འདུན་བསྟན་འཛིན།,,,རོང་པོ་རྒྱུད་པ་ཁྲི ༢༨,,,,,,,,,,,,,,,,,,,,,,
P2LS298,,1920,,,,,,,,,,,,དགྲ་འདུལ་རྣམ་རྒྱལ།,,,,,,,,,,,,,,,,,,,,,,,,,
P1LS5647,,1920,,,,,,,,,,,,དགྲ་འདུལ་རྣམ་རྒྱལ།,,,ཙ་རོང་།,,,,,,,,,,,,,,,,,,,,,,
P1KG24112,,,,,,translator,compiler,,,,,,,བསོད་ནམས་རབ་བརྟན།,,sonam rapten,,,,,,,,,,,,,,,,,,,,,,,
P2JM272,,,,,,,,,,,,,,བསོད་ནམས་རབ་བརྟན།,,,,,,,,,,,,,,,,,,,,,,,,,
P8LS13771,,,,,,translator,,,,,,,,ཛྙཱ་སིདྡྷི།,,,,,,,,,,,,,,,,,,,,,,,,,
P8LS15053,,,,,,,,,,,,,,ཤེས་རབ་དབང་ཕྱུག,,,,,,,,,,,,,,,,,,,,,,,,,
P8LS13583,,,,,,,,,,,,,,མང་མཁར་ཚུལ་ཁྲིམས་དཔལ།,,,ཚུལ་ཁྲིམས་དཔལ།,,,,,,,,,,,,,,,,,,,,,,
P8LS15104,,,,,,,,,,,,,,མཁན་རིན་ཆེན་བཟང་པོ།,,,རིན་ཆེན་བཟང་པོ།,,,,,,,,,,,,,,,,,,,,,,
P3CN26527,,,,,,main author,,,,,,,,ཡེ་ཤེས།,益西,,,,,,,,,,,,,,,,,,,,,,,,
P3JT13524,,,,,,,,,,,,,,སངས་རྒྱས་རྒྱལ་མཚན།,,,གཡག་སྡེ་སངས་རྒྱས་རྒྱལ་མཚན།,,,,,,,,,,,,,,,,,,,,,,
P1KG3751,Male,,,,,main author,,,,,,,,རཏྣ་བཛྲ།,,,,,,,,,,,,,,,,,,,,,,,,,
P8LS12711,,,,,,,,,,,,,,ཡོངས་འཛིན་ངག་དབང་ཆོས་གྲགས།,,,ངག་དབང་ཆོས་གྲགས།,སེ་ར་བྱེས་ཡོངས་འཛིན་སྤྲུལ་སྐུ ༠༡,,,,,,,,,,,,,,,,,,,,,
P8LS12247,,,,Kadam,Q588362,,,,,,,,,ངག་དབང་བཟང་པོ།,,,བྱ་ཁྱུང་མཁན་རབས ༨༩,མདོ་བ་དཀའ་བཅུ་ངག་དབང་བཟང་པོ།,,,,,,,,,,,,,,,,,,,,,
P8LS12733,,,,,,,,,,,,,,ངག་དབང་བསྟན་འཛིན་བཟང་པོ།,,,ལྷུན་རྩེ་བྱ་ཁོང་སྔགས་གྲྭ་རྣམ་རྒྱལ་བཀྲ་ཤིས ༠༢,,,,,,,,,,,,,,,,,,,,,,
P8LS4321,,,,,,,,,,,,,,འཕྲིན་ལས་བཟང་པོ།,,,ཆབ་མདོ་ཁྲི་རབས ༡༧་འཕྲིན་ལས་བཟང་པོ།,,,,,,,,,,,,,,,,,,,,,,
P8LS12760,,,,,,,,,,,,,,དཔག་བསམ་དབང་པོ།,,,དཀར་ལྕོག་བླ་མ ༠༡,,,,,,,,,,,,,,,,,,,,,,
P8LS12386,,,,,,,,,,,,,,བློ་བཟང་ཡར་འཕེལ།,,,སེར་བྱེས་མཁན་རབས ༢༦,,,,,,,,,,,,,,,,,,,,,,
P8LS75206,,,,,,compiler,main author,,,,,,,བསྟན་འཛིན་ཤེས་རབ།,,,,,,,,,,,,,,,,,,,,,,,,,
P2DB25425,,,,,,main author,contributing author,,,,,,,བློ་བཟང་ཆོས་འཛིན།,,,ཁུ་རེ་ཆེན་མོའི་ཆོས་རྗེ་སྔགས་རམ་པ་བློ་བཟང་ཆོས་འཛིན།,,,,,,,,,,,,,,,,,,,,,,
P8LS12995,,,,,,,,,,,,,,ངག་དབང་བློ་བཟང་བསྟན་པ་དར་རྒྱས།,,,ཤག་ལྷོ་མཁའ་སྤྱོད་སྤྲུལ་སྐུ ༠༡,,,,,,,,,,,,,,,,,,,,,,
P8LS12677,,,,,,,,,,,,,,ངག་དབང་ཀུན་བཟང་རྡོ་རྗེ།,,,ཐེག་ཆེན་གླིང་དགོན་བླ་མ ༠༤,,,,,,,,,,,,,,,,,,,,,,
P8LS13703,,,,,,,,,,,,,,བཀྲ་ཤིས་དཔལ།,,,བླ་མ་བཀྲ་ཤིས་དཔལ།,,,,,,,,,,,,,,,,,,,,,,
P00KG08456,Male,,,,,,,,,,,,,ཚེ་དབང་སྐྱབས།,,,,,,,,,,,,,,,,,,,,,,,,,
P1KG6111,Male,,,,,main author,,,,,,,,རིན་ཆེན་དབང་རྒྱལ།,,,,,,,,,,,,,,,,,,,,,,,,,
