BDRC_ID,PlaceType,label_bo,label_zh-hans,label_en,label_zh-pinin,label_mn-x-trans,alias_bo,alias_zh-hans,alias_en,alias_zh-pinin,alias_mn-x-trans,Latitude,Longitude,FoundedOn,ConvertedOn
G1540,monastery,བྲག་ལྕོག་དགོན།,扎觉寺,,,,བྲག་ལྕོགས་དགའ་ལྡན་བྱམས་པ་གླིང་།,,,zhajue si,,31.68333,99.71667,1410,
G1KR2270,monastery,གྱོད་རྒྱ་དགོན་པ།,角加寺,,,,,,,jiaojia si,,36.21813,101.79932,1949,
G1KR2049,monastery,ཀ་ར་གཤོང་དགོན་པ།,尕若相寺,,,,,尕浪寺/尕让相寺,,,,35.31023,102.28372,1950,
G4233,monastery,དབང་དྲག་རོལ་པའི་དགའ་ཚལ།,,,,,ཆོས་འཁོར་རྒྱལ་དབང་དྲག་རོལ་པའི་དགའ་ཚལ།,,,,,,,1557,
G4771,monastery,ཝ་ནག་དགོན་པ།,,,,,,,,,,,,,
G1KR331,monastery,བཀྲ་ཤིས་དགོན།,扎西寺,,,,,,,,,29.83333,101.11667,1679,
G4601,monastery,གནམ་མཚོ་དགོན།,,,,,,,,,,,,,
G1KR2852,monastery,ཁྲུལ་བཞེངས་དགོན་པ།,擦伊寺,,,,,擦伊寺,,cayi si,,31.89556,96.13876,,
G3972,monastery,ཧོར་ཤུལ་དགོན།,霍西寺,,,,གསེར་སྨད་ཧོར་ཤུལ་དགོན།,,,huoxi si,,32.01667,100.51667,1690,
G409,monastery,གངས་དཀར་དགོན།,贡嘎寺,,,,འབོ་གངས་དཀར་དགོན།,,,gongga si,,29.46667,101.53333,1141,
G1KR2,monastery,གསེར་རླབས་དགོན།,金波寺,,,,,,,Jin bo si,,31.21007,103.39674,1628,
G1KR2767,monastery,ཨ་ཉེ་དགོན་པ།,阿涅寺,,,,རྫ་ཆུ་ཁའི་ཨ་མྱེ་དགོན ?,阿尼寺,,a-nie si,,33.80465,97.13766,1924,
G3JT12543,printery,གོང་བ་གྲྭ་ཚང་གི་པར་ཁང་།,,,,,གོང་བ་གྲྭ་ཚང་ཐོས་བསམ་དར་རྒྱས་གླིང་གི་པར་ཁང་།,,,,,,,,
G1KR1855,monastery,དགྱེས་རི་དགོན།,吉日寺,,,,སྒྱེལ་རི་དགོན།,,,jiri si,,29.563807,94.490931,,
G1KR3,monastery,སན་ཅང་དགོན།,三江寺,,,,,,,San jiang si,,30.91936,103.34309,1808,
G1KR2726,monastery,རྫོང་ཆེན་ཇོ་གླིང་།,左青尼姑寺,,,,,佐青尼姑寺,,zuoqing nigu si,,33.41922,96.60210,1890,
G3JT12564,printery,ཁང་གསར་བླ་བྲང་པར་ཁང་།,,,,,ཏྲེ་ཧོར་ཁང་གསར་བླ་བྲང་པར་ཁང་།,,,,,,,,
G874,monastery,གྲོ་ཚང་དགོན།,药草台寺,,,,གྲོ་ཚང་དགོན་བཀྲ་ཤིས་ལྷུན་པོ།,,,yaocaotai si,,36.29263,102.22916,1619,
G3702,monastery,ཀོའུ་སྡེ་དགོན།,古德寺,,,,རེབ་ཀོང་ཀོའུ་སྡེ་དགོན་རྫོགས་ཆེན་རྣམ་རྒྱལ་གླིང་།,,,gude si,,35.44163,101.92893,1350,
G1KR1201,monastery,,察益寺,,,,,,,Chayi si,,30.73333,97.33334,,
G1KR2371,monastery,ཁྲི་ཀ་དགོན་པ།,赤卡寺,,,,,,,cika si,,35.78625,102.10821,1941,
G1KR1912,monastery,ཡར་ལུང་ཐུར་ཆེན་དགོན།,石门寺,Yarlung Turchen,,,དགོན་གསར་ཐོས་བསམ་དར་རྒྱས་གླིང་།,,,shimen si,,37.01667,103.08334,1500,1652
G407,monastery,ཐང་སག་དགོན།,,,,,འཕན་པོ་ཐང་སག་དགོན།,,,,,,,,
G527,monastery,སྨན་སྡོང་དགོན།,曼冬寺,,,,སྨན་སྡོང་དགོན་ཐུབ་ཆེན་བདེ་ཆེན་གླིང་།,,,mandong si,,31.02000,85.17000,1850,
G1KR1976,monastery,ཇོ་ཏོ་རི་ཁྲོད།,交多静修院,,,,ཇོ་ཏོ་རི་ཁྲོད་བཤད་སྒྲུབ་དར་རྒྱས་གླིང་།,,,jiaoduo jingxiuyuan,,33.59493,104.50240,1692,
G1KR120,monastery,མུ་ངེ་དགོན།,蒙岩寺,,,,,蒙岩寺 (州至2573）,,Meng yan si,,32.20995,102.00050,1250,
G4926,monastery,པཱ་ལ་དགོན་པ།,巴郎寺,,,,པའ་ལ་དགོན་བཤད་སྒྲུབ་ཕུན་ཚོགས་གླིང་།,日部乡巴郎寺,,balang si,,32.23840,101.61660,,
G1PD96005,monastery,འབུམ་ཁང་ཐང་དགོན།,本康滩寺,,,,འབུམ་ཁང་ཏང་དགའ་ལྡན་བཤད་སྒྲུབ་གླིང་།,笨抗滩寺,,benkangtan si,,36.02723,102.72875,1373,
G1KR2783,monastery,སྒ་ཐར་ལམ་དགོན།,唐隆寺,,,,ཐར་ལམ་རྣམ་རྒྱལ་གླིང་།,汤陇寺,,tanglong si,,33.20034,97.03317,1300,
G1526,monastery,འཇོལ་དགའ་ལྡན་བདེ་ཆེན་གླིང་།,,,,,,,,,,,,,
